,s,l,signal,gold,silver,assets
3431,13,14,13,30,30,102449.01008598725
3432,13,14,14,29,29,90156.42820906942
3433,13,14,15,25,25,95752.95652311576
3434,13,14,16,24,24,105048.25438216672
3435,13,14,17,22,22,103483.36301002013
3436,13,14,18,21,21,105714.07031742786
3437,13,14,19,21,21,103685.61087478772
3438,13,14,20,21,21,101977.9704166846
3439,13,14,21,23,23,103856.06622793777
3440,13,14,22,25,25,89182.9223679772
3441,13,14,23,24,24,93314.34762475974
3442,13,14,24,22,22,98386.40047610697
3443,13,14,25,21,21,99833.84147576711
3444,13,14,26,21,21,102935.57282727257
3445,13,14,27,21,21,104645.69176495384
3446,13,14,28,20,20,104712.48937447747
3447,13,14,29,20,20,98006.02886210133
3448,13,14,30,20,20,97306.45267024252
3449,13,14,31,20,20,95287.04202797731
3450,13,14,32,21,21,89700.17874947023
3451,13,14,33,20,20,95430.51307098639
3452,13,14,34,20,20,96562.55775565628
3453,13,14,35,20,20,88902.18147602075
3454,13,14,36,20,20,91100.14766619353
3455,13,14,37,19,19,98372.0705856777
3456,13,14,38,19,19,94611.1128626452
3457,13,14,39,19,19,87457.97475742141
3458,1,15,2,134,134,105056.85814232995
3459,1,15,3,112,112,127459.42007773364
3460,1,15,4,100,100,136564.00540551153
3461,1,15,5,91,91,159180.73387486115
3462,1,15,6,81,81,170569.4322179679
3463,1,15,7,78,78,157444.46985150882
3464,1,15,8,76,76,144410.6473153022
3465,1,15,9,74,74,139947.50987577072
3466,1,15,10,74,74,113033.07376259741
3467,1,15,11,73,73,126889.06809995403
3468,1,15,12,67,67,129487.24824599733
3469,1,15,13,66,66,134108.36477807153
3470,1,15,14,64,64,133132.12606054413
3471,1,15,15,67,67,125767.52506800301
3472,1,15,16,66,66,106411.46045779545
3473,1,15,17,65,65,105977.67141502032
3474,1,15,18,64,64,100943.88327347637
3475,1,15,19,69,69,90628.44361232521
3476,1,15,20,69,69,90260.55093671802
3477,1,15,21,68,68,87442.83201395551
3478,1,15,22,66,66,87958.28075375617
3479,1,15,23,66,66,88013.44599065356
3480,1,15,24,66,66,86343.94937725931
3481,1,15,25,63,63,90331.27048405545
3482,1,15,26,65,65,86250.33278920046
3483,1,15,27,65,65,82966.26292881867
3484,1,15,28,64,64,86737.32798168229
3485,1,15,29,64,64,85144.5314711802
3486,1,15,30,64,64,84661.01411442061
3487,1,15,31,65,65,85135.26120649469
3488,1,15,32,63,63,92308.74678046549
3489,1,15,33,63,63,92949.59699054847
3490,1,15,34,63,63,89864.52556166975
3491,1,15,35,62,62,90462.37724876584
3492,1,15,36,63,63,91832.5675602266
3493,1,15,37,62,62,93158.36834973644
3494,1,15,38,62,62,91478.89777846358
3495,1,15,39,62,62,93214.74997479125
3496,2,15,2,95,95,153415.41276125034
3497,2,15,3,81,81,194051.8924054662
3498,2,15,4,74,74,133758.89426827084
3499,2,15,5,67,67,154771.2121252694
3500,2,15,6,61,61,137437.53474482993
3501,2,15,7,59,59,135066.07688463785
3502,2,15,8,55,55,143303.4139060833
3503,2,15,9,53,53,153390.84824046431
3504,2,15,10,54,54,146137.88383510598
3505,2,15,11,49,49,131222.05223322767
3506,2,15,12,48,48,134966.9721908341
3507,2,15,13,48,48,128440.8443982447
3508,2,15,14,48,48,130548.97352790704
3509,2,15,15,47,47,126185.93877557262
3510,2,15,16,48,48,125058.79292667154
3511,2,15,17,48,48,125009.54368166662
3512,2,15,18,51,51,102610.91294815035
3513,2,15,19,51,51,102849.69854907354
3514,2,15,20,51,51,103151.74961495314
3515,2,15,21,50,50,101010.43171150905
3516,2,15,22,51,51,99682.42401433227
3517,2,15,23,51,51,100330.59382655371
3518,2,15,24,53,53,96523.7407317531
3519,2,15,25,51,51,102928.52925542452
3520,2,15,26,48,48,105103.96805058364
3521,2,15,27,49,49,100578.4081739741
3522,2,15,28,47,47,106503.09225936566
3523,2,15,29,49,49,100646.33125327491
3524,2,15,30,48,48,103954.40457170272
3525,2,15,31,47,47,109667.2621346491
3526,2,15,32,48,48,105232.41521164842
3527,2,15,33,48,48,99044.93755121154
3528,2,15,34,47,47,103021.06146398839
3529,2,15,35,46,46,102781.62335496425
3530,2,15,36,46,46,100961.49492087089
3531,2,15,37,45,45,103367.8234551122
3532,2,15,38,44,44,103852.92427155212
3533,2,15,39,45,45,99270.70668493152
3534,3,15,2,81,81,194051.8924054662
3535,3,15,3,67,67,168392.71396715342
3536,3,15,4,62,62,145828.34980571826
3537,3,15,5,57,57,130290.76232093979
3538,3,15,6,50,50,154959.81113468317
3539,3,15,7,49,49,155396.9255412198
3540,3,15,8,45,45,170868.37906912988
3541,3,15,9,44,44,146443.08722848073
3542,3,15,10,44,44,141157.91125281402
3543,3,15,11,45,45,120562.42878338067
3544,3,15,12,45,45,127704.1730928383
3545,3,15,13,44,44,125216.65662721275
3546,3,15,14,44,44,121639.685131502
3547,3,15,15,43,43,111794.77618890369
3548,3,15,16,43,43,107399.74002854353
3549,3,15,17,43,43,104412.11690675795
3550,3,15,18,41,41,117368.24530253476
3551,3,15,19,44,44,109027.94715142342
3552,3,15,20,44,44,109791.71722230988
3553,3,15,21,44,44,116722.47850696264
3554,3,15,22,45,45,110531.6371195647
3555,3,15,23,43,43,114996.3765645216
3556,3,15,24,44,44,114365.09772932471
3557,3,15,25,43,43,114982.99845542738
3558,3,15,26,41,41,124197.77757141565
3559,3,15,27,42,42,110952.09994997326
3560,3,15,28,44,44,106566.60992948267
3561,3,15,29,42,42,107905.48111300502
3562,3,15,30,43,43,109391.33667673942
3563,3,15,31,44,44,105309.75520640943
3564,3,15,32,43,43,110347.203731467
3565,3,15,33,43,43,104171.02979617436
3566,3,15,34,43,43,103847.01290854118
3567,3,15,35,43,43,103805.6963242436
3568,3,15,36,42,42,104147.39237415303
3569,3,15,37,42,42,103906.67751684066
3570,3,15,38,42,42,101919.33239530516
3571,3,15,39,41,41,103968.08849981076
3572,4,15,2,74,74,133758.89426827084
3573,4,15,3,62,62,145828.34980571826
3574,4,15,4,57,57,119840.54121020924
3575,4,15,5,49,49,164955.06820710644
3576,4,15,6,47,47,166503.46963173282
3577,4,15,7,44,44,161463.71419066866
3578,4,15,8,42,42,140814.58754520435
3579,4,15,9,42,42,136694.54763040695
3580,4,15,10,44,44,117973.69535330431
3581,4,15,11,42,42,122739.97200659085
3582,4,15,12,41,41,115460.22993089237
