Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-12-13 00:00:00+00:00,395071.65625,395503.75,374671.125,376383.3125,493341010330,0.0,0.0
2018-12-14 00:00:00+00:00,376089.15625,378129.09375,363559.78125,367814.21875,496028457675,0.0,0.0
2018-12-15 00:00:00+00:00,367985.84375,371545.5,362008.4375,367165.03125,402897557938,0.0,0.0
2018-12-16 00:00:00+00:00,367109.8125,374991.125,366831.3125,368795.5,424509846111,0.0,0.0
2018-12-17 00:00:00+00:00,368909.03125,405475.28125,369182.28125,400146.125,610426415247,0.0,0.0
2018-12-18 00:00:00+00:00,399971.40625,416414.875,391835.78125,415932.21875,665224945138,0.0,0.0
2018-12-19 00:00:00+00:00,417119.71875,443666.9375,413898.9375,421083.40625,765591550316,0.0,0.0
2018-12-20 00:00:00+00:00,420643.3125,466707.1875,419484.28125,459696.125,992580723149,0.0,0.0
2018-12-21 00:00:00+00:00,459568.625,466957.75,428642.09375,433430.90625,801559072626,0.0,0.0
2018-12-22 00:00:00+00:00,433602.21875,445861.75,428892.0,445861.75,622647863388,0.0,0.0
2018-12-23 00:00:00+00:00,446618.375,454373.3125,441734.9375,444103.75,683125286076,0.0,0.0
2018-12-24 00:00:00+00:00,444261.5,474532.0625,444261.5,450014.28125,798935880054,0.0,0.0
2018-12-25 00:00:00+00:00,450178.46875,450984.59375,414402.65625,421275.34375,679939007792,0.0,0.0
2018-12-26 00:00:00+00:00,421762.96875,429776.8125,416808.65625,428959.125,592350302119,0.0,0.0
2018-12-27 00:00:00+00:00,428671.375,430021.53125,404212.78125,405182.15625,568746711992,0.0,0.0
2018-12-28 00:00:00+00:00,404933.25,436719.875,402634.6875,432710.125,621019655765,0.0,0.0
2018-12-29 00:00:00+00:00,433655.53125,437103.5,421295.5625,421295.5625,550454856300,0.0,0.0
2018-12-30 00:00:00+00:00,421513.5,430284.84375,418738.34375,426573.0625,526390410541,0.0,0.0
2018-12-31 00:00:00+00:00,426690.0,424148.46875,408484.34375,410329.8125,511099506128,0.0,0.0
2019-01-01 00:00:00+00:00,410769.78125,422476.0625,406628.40625,421550.21875,474270436917,0.0,0.0
2019-01-02 00:00:00+00:00,422155.84375,424742.0,417147.4375,423712.09375,563550251443,0.0,0.0
2019-01-03 00:00:00+00:00,422272.03125,424259.0,412363.3125,413836.6875,488635808827,0.0,0.0
2019-01-04 00:00:00+00:00,413212.6875,419459.25,410230.28125,418678.09375,526149692143,0.0,0.0
2019-01-05 00:00:00+00:00,418054.75,423799.125,416418.40625,417318.59375,557584323516,0.0,0.0
2019-01-06 00:00:00+00:00,416377.0625,445001.65625,415291.125,442570.84375,607629217740,0.0,0.0
2019-01-07 00:00:00+00:00,442623.34375,444402.5625,435816.65625,437226.5,567938545327,0.0,0.0
2019-01-08 00:00:00+00:00,437582.71875,446602.46875,434717.5,438458.65625,577228850842,0.0,0.0
2019-01-09 00:00:00+00:00,438550.625,442826.0625,437267.8125,436614.03125,553534550423,0.0,0.0
2019-01-10 00:00:00+00:00,436481.34375,438623.53125,396741.4375,398461.15625,744532577729,0.0,0.0
2019-01-11 00:00:00+00:00,397909.78125,403077.5,395699.3125,400053.34375,600911574825,0.0,0.0
2019-01-12 00:00:00+00:00,400010.78125,401313.25,396412.90625,397434.0,518670143212,0.0,0.0
2019-01-13 00:00:00+00:00,397169.90625,398894.96875,384823.125,385371.9375,507758642280,0.0,0.0
2019-01-14 00:00:00+00:00,385843.75,403465.59375,385196.84375,401192.0,611780455455,0.0,0.0
2019-01-15 00:00:00+00:00,400927.71875,403261.53125,393388.90625,394468.46875,601609219851,0.0,0.0
2019-01-16 00:00:00+00:00,394534.5,400919.15625,393405.75,398530.4375,588194600271,0.0,0.0
2019-01-17 00:00:00+00:00,398204.5625,401499.15625,394036.75,401536.25,596472661987,0.0,0.0
2019-01-18 00:00:00+00:00,401485.0,402178.5625,398893.21875,401538.96875,549199657387,0.0,0.0
2019-01-19 00:00:00+00:00,400939.4375,412592.65625,400939.4375,409303.25,653785466282,0.0,0.0
2019-01-20 00:00:00+00:00,408960.5,410930.0625,393325.625,394998.78125,612348862275,0.0,0.0
2019-01-21 00:00:00+00:00,394928.5,395593.90625,390169.09375,392196.0,548844257224,0.0,0.0
2019-01-22 00:00:00+00:00,392116.6875,395484.21875,387227.8125,394212.78125,581121783391,0.0,0.0
2019-01-23 00:00:00+00:00,394292.90625,398253.03125,390789.5625,392563.8125,594985376016,0.0,0.0
2019-01-24 00:00:00+00:00,392493.8125,396515.96875,390920.96875,394654.75,576810283025,0.0,0.0
2019-01-25 00:00:00+00:00,395369.875,396323.71875,392792.0,394336.34375,576847268609,0.0,0.0
2019-01-26 00:00:00+00:00,394330.8125,400379.65625,393633.0625,394559.46875,558378518777,0.0,0.0
2019-01-27 00:00:00+00:00,394803.375,395677.84375,390702.59375,392105.5625,609471013656,0.0,0.0
2019-01-28 00:00:00+00:00,392140.3125,392071.3125,375938.6875,379159.0,754825102293,0.0,0.0
2019-01-29 00:00:00+00:00,379017.4375,379403.84375,371505.875,377279.1875,645243603083,0.0,0.0
2019-01-30 00:00:00+00:00,376859.0,382756.59375,375147.03125,379931.0625,649000084289,0.0,0.0
2019-01-31 00:00:00+00:00,379848.53125,381480.5,375288.40625,376363.4375,634696775792,0.0,0.0
2019-02-01 00:00:00+00:00,376670.1875,383445.9375,373891.375,381912.0625,593782533259,0.0,0.0
2019-02-02 00:00:00+00:00,381548.59375,385781.8125,379681.5625,385538.0,555316653171,0.0,0.0
2019-02-03 00:00:00+00:00,384999.15625,385573.875,377602.875,379136.25,552058968563,0.0,0.0
2019-02-04 00:00:00+00:00,379510.9375,381943.84375,378211.90625,380384.53125,586410358492,0.0,0.0
2019-02-05 00:00:00+00:00,379979.15625,382578.03125,379799.375,381123.84375,574765841313,0.0,0.0
2019-02-06 00:00:00+00:00,381421.4375,381437.03125,373624.59375,375451.28125,602940143511,0.0,0.0
2019-02-07 00:00:00+00:00,375575.09375,376600.96875,372704.375,373133.375,549355548168,0.0,0.0
2019-02-08 00:00:00+00:00,373342.71875,405642.59375,372185.1875,402381.46875,848884072240,0.0,0.0
2019-02-09 00:00:00+00:00,402908.84375,403825.75,400162.46875,402918.28125,675938151334,0.0,0.0
2019-02-10 00:00:00+00:00,403137.53125,405934.8125,399601.1875,405248.0,689903053581,0.0,0.0
2019-02-11 00:00:00+00:00,405843.75,405837.4375,402158.9375,402759.375,692939952343,0.0,0.0
2019-02-12 00:00:00+00:00,402132.5,405283.09375,399862.625,403832.5625,716291159138,0.0,0.0
