,MACD_grad,Signal_grad,profit,SMA5,EMA5,Close,SMA_grad,EMA_grad,buy_index,sell_index
0,53557.8737257272,15161.911602457665,-5483.716696721254,5495161.8,5487491.395522663,5581279.5,44919.59999999963,46896.83806054667,2021-12-15 00:00:00+00:00,2021-12-17 00:00:00+00:00
1,10110.238991405815,508.6472246342237,7735.332474294206,5376533.4,5371970.891308108,5327408.5,3793.100000000559,-22281.58783107344,2021-12-18 00:00:00+00:00,2021-12-26 00:00:00+00:00
2,35289.78195090406,4462.9172113849345,-2782.7746562536922,5409732.4,5463894.927526611,5489133.5,-64813.199999999255,12619.286997535266,2022-01-01 00:00:00+00:00,2022-01-04 00:00:00+00:00
3,23478.97039055731,3210.7629240047827,-186.9659852459008,4906326.9,4936057.166592816,4845882.0,-97258.39999999944,-45087.58340247627,2022-01-09 00:00:00+00:00,2022-01-17 00:00:00+00:00
4,42202.4750335156,8054.7527147500805,944.7492557685182,4214431.85,4253393.124695114,4179121.25,-118870.55000000075,-37135.93734775577,2022-01-24 00:00:00+00:00,2022-02-02 00:00:00+00:00
5,87039.85775897093,23687.130822728363,5161.05501223031,4431124.1,4471401.758205769,4781938.5,82269.39999999944,155268.37089712545,2022-02-04 00:00:00+00:00,2022-02-10 00:00:00+00:00
6,42755.96264692303,8856.553926460045,-9458.178018027815,4944743.8,4996814.258566646,5154743.5,19793.700000000186,78964.62071667798,2022-02-15 00:00:00+00:00,2022-02-17 00:00:00+00:00
7,37397.558693752624,795.6012212059431,9728.716505180666,4458098.6,4471737.772334947,4406712.0,-49894.10000000056,-32512.88616747409,2022-02-22 00:00:00+00:00,2022-03-03 00:00:00+00:00
8,79969.79568834417,25776.251849963694,-6389.624662499729,4536123.8,4628896.3104213355,4866283.0,74539.79999999981,118693.34478933271,2022-03-09 00:00:00+00:00,2022-03-11 00:00:00+00:00
9,38229.55897271074,8215.427854976999,4344.5171853099455,4566629.9,4588376.577915567,4689423.5,-35371.89999999944,50523.46104221698,2022-03-14 00:00:00+00:00,2022-03-20 00:00:00+00:00
10,28942.17368491087,3908.78077676682,11010.698827002736,4997018.2,4984637.6011197055,5139830.0,57494.299999999814,77596.19944014773,2022-03-22 00:00:00+00:00,2022-03-30 00:00:00+00:00
11,38483.10656610876,9453.022645905054,776.799731356281,5144619.0,5156540.013167516,5161690.5,-19144.599999999627,2575.24341624137,2022-04-13 00:00:00+00:00,2022-04-21 00:00:00+00:00
12,19907.404948674142,2209.6884335088544,-6649.671143883665,5125616.1,5139003.620029192,5169601.0,-25388.0,15298.689985403791,2022-04-25 00:00:00+00:00,2022-04-26 00:00:00+00:00
13,39425.048167380504,12520.0343205538,-5929.540949463524,5067843.4,5095442.072601242,5201986.0,25817.300000000745,53271.963699379005,2022-04-28 00:00:00+00:00,2022-04-30 00:00:00+00:00
14,9633.093174511567,3104.319511334821,-1968.965822494938,5025276.0,5009457.872365678,5012819.5,-5522.0,1680.8138171611354,2022-05-02 00:00:00+00:00,2022-05-03 00:00:00+00:00
15,35693.656718068756,10559.730011296848,-6575.598138795787,4990795.9,5028249.609940301,5130659.0,23473.300000000745,51204.69502984919,2022-05-04 00:00:00+00:00,2022-05-05 00:00:00+00:00
16,38475.30090856645,8934.604768393488,-2531.381934833058,3854210.55,3923226.168802491,3783522.75,-133869.55000000028,-69851.70940124616,2022-05-13 00:00:00+00:00,2022-05-18 00:00:00+00:00
17,28581.360750306863,7970.302852826768,-5089.488382695505,3877993.0,3854065.4452035106,3875878.75,-2670.9500000001863,10906.652398244943,2022-05-19 00:00:00+00:00,2022-05-27 00:00:00+00:00
