Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MFI,EMA3,EMA5,SMA5,MACD,Signal,before_MACD,before_Signal,before_SMA5,before_EMA5,upper_sigma4,lower_sigma4,g_point,s_point,mode,yen,btc,total
2021-11-23 00:00:00+00:00,6463256.0,6664734.5,6385021.5,6628604.0,4316181061082,0.0,0.0,,6591594.928571428,6591653.842105262,,-58.9135338338092,-5127.6537791842,-16149.199999999255,-9689.519999999553,,6558398.699999999,,,False,False,1,50000.0,0.007543066383208289,100000.0
2021-11-24 00:00:00+00:00,6628232.5,6654636.0,6453052.5,6495718.0,4228367212047,0.0,0.0,,6540460.566666666,6551803.569230769,,-11343.002564102411,-7709.414043688687,-58.9135338338092,-5127.6537791842,,6591653.842105262,,,False,False,1,50000.0,0.007543066383208289,98997.63208060098
2021-11-25 00:00:00+00:00,6597861.0,6847887.5,6596299.0,6590912.5,3945250311712,0.0,0.0,,6566500.274193549,6566816.950236967,6576095.9,-316.6760434182361,-4871.443531736524,-11343.002564102411,-7709.414043688687,,6551803.569230769,,,False,False,1,50000.0,0.007543066383208289,99715.6905134173
2021-11-26 00:00:00+00:00,6784884.5,6801135.0,6070792.5,6070792.5,4738202185049,0.0,0.0,,6314712.198412699,6385562.903007519,6449506.1,-70850.70459482074,-28981.15847659286,-316.6760434182361,-4871.443531736524,6576095.9,6566816.950236967,,,False,False,1,50000.0,0.007543066383208289,95792.39082618301
2021-11-27 00:00:00+00:00,6089680.0,6270187.0,6081965.5,6211917.5,3463308573948,0.0,0.0,,6262910.145669292,6324082.8161729,6399588.9,-61172.67050360795,-40378.73607139325,-70850.70459482074,-28981.15847659286,6449506.1,6385562.903007519,,,False,False,1,50000.0,0.007543066383208289,96856.90606951328
2021-11-28 00:00:00+00:00,6211685.0,6526598.5,6071582.5,6510577.0,3197590892542,0.0,0.0,,6387229.194117647,6388771.599682791,6375983.5,-1542.4055651444942,-26907.672658678577,-61172.67050360795,-40378.73607139325,6399588.9,6324082.8161729,,,False,False,1,50000.0,0.007543066383208289,99109.71450398907
2021-11-29 00:00:00+00:00,6515518.0,6694553.0,6438625.5,6578705.0,3683979672135,0.0,0.0,,6483154.451076321,6453773.58390277,6392580.9,29380.86717355158,-7643.726602694957,-1542.4055651444942,-26907.672658678577,6375983.5,6388771.599682791,,,False,False,1,50000.0,0.007543066383208289,99623.6085305443
2021-11-30 00:00:00+00:00,6581385.0,6659183.5,6344891.5,6453907.0,4155988012155,0.0,0.0,,6468516.4305962855,6453818.840758294,6365179.8,14697.589837991633,-65.19783919587836,29380.86717355158,-7643.726602694957,6392580.9,6453773.58390277,,,False,False,1,50000.0,0.007543066383208289,98682.24893205267
2021-12-01 00:00:00+00:00,6442873.5,6672937.5,6380469.5,6460246.5,4160645231720,0.0,0.0,,6464379.445285784,6455986.453654789,6443070.6,8392.991630994715,2787.1749900337813,14697.589837991633,-65.19783919587836,6365179.8,6453818.840758294,,,False,False,1,50000.0,0.007543066383208289,98730.06820138902
2021-12-02 00:00:00+00:00,6458840.0,6477022.5,6316086.0,6383236.0,3659648820779,0.0,0.0,,6423797.815018315,6431547.946389935,6477334.3,-7750.131371620111,-752.5422919123863,8392.991630994715,2787.1749900337813,6443070.6,6455986.453654789,,,False,False,1,50000.0,0.007543066383208289,98149.17288768495
2021-12-03 00:00:00+00:00,6386779.0,6507063.0,5917380.0,6046525.5,4488691927222,0.0,0.0,,6235138.627823221,6302544.280279182,6384524.0,-67405.65245596133,-23084.99498257434,-7750.131371620111,-752.5422919123863,6477334.3,6431547.946389935,,,False,False,1,50000.0,0.007543066383208289,95609.3432342617
2021-12-04 00:00:00+00:00,6061149.5,6081095.0,4836771.5,5550085.5,6924611346865,0.0,0.0,,5892591.156473174,6050862.554273868,6178800.1,-158271.39780069422,-68302.01960296679,-67405.65245596133,-23084.99498257434,6384524.0,6302544.280279182,,,False,False,1,50000.0,0.007543066383208289,91864.66335898178
2021-12-05 00:00:00+00:00,5550177.5,5614096.0,5398565.0,5580876.5,4205052051192,0.0,0.0,40.32936121577403,5736729.071703238,5893841.954793503,6004194.0,-157112.88309026416,-97973.40005847753,-158271.39780069422,-68302.01960296679,6178800.1,6050862.554273868,,,False,False,1,50000.0,0.007543066383208289,92096.92191598713
2021-12-06 00:00:00+00:00,5585922.0,5780398.5,5352887.0,5739481.0,4278551613913,0.0,0.0,47.10285653616826,5738105.056847486,5842309.848715852,5860040.9,-104204.7918683663,-100053.69778783647,-157112.88309026416,-97973.40005847753,6004194.0,5893841.954793503,,,False,False,1,50000.0,0.007543066383208289,93293.28618816269
2021-12-07 00:00:00+00:00,5739390.5,5899211.5,5699269.5,5755790.5,3823202502048,0.0,0.0,46.198539975721054,5746947.84588887,5813440.764867545,5734551.8,-66492.91897867527,-88855.4057082444,-104204.7918683663,-100053.69778783647,5860040.9,5842309.848715852,,,False,False,1,50000.0,0.007543066383208289,93416.30982933963
2021-12-08 00:00:00+00:00,5752108.0,5825451.5,5549834.0,5741637.5,3237714631515,0.0,0.0,47.39611756648994,5744292.662815715,5789490.13730474,5673574.2,-45197.47448902484,-74292.90840783673,-66492.91897867527,-88855.4057082444,5734551.8,5813440.764867545,,,False,False,1,50000.0,0.007543066383208289,93309.55281081807
2021-12-09 00:00:00+00:00,5735417.5,5777111.0,5372679.0,5407997.0,3358274208674,0.0,0.0,40.84053322456617,5576144.51069071,5662268.369355496,5645156.5,-86123.85866478644,-78238.33824922956,-45197.47448902484,-74292.90840783673,5673574.2,5789490.13730474,,,False,False,1,50000.0,0.007543066383208289,90792.88037119128
2021-12-10 00:00:00+00:00,5404596.0,5684089.5,5331781.5,5356681.5,3511080056338,0.0,0.0,42.15314308199698,5466412.900697136,5560375.437445473,5600317.5,-93962.53674833663,-83481.3144621419,-86123.85866478644,-78238.33824922956,5645156.5,5662268.369355496,,,False,False,1,50000.0,0.007543066383208289,90405.80414820375
2021-12-11 00:00:00+00:00,5359100.0,5608314.0,5322557.5,5597461.5,2922854694889,0.0,0.0,47.72452565079808,5531937.231593004,5572739.937203277,5571913.6,-40802.705610272475,-69252.25878828988,-93962.53674833663,-83481.3144621419,5600317.5,5560375.437445473,,,False,False,1,50000.0,0.007543066383208289,92222.02367195264
