,s,l,signal,gold,silver
16169,46,48,19,9,10
16873,47,49,18,9,10
16168,46,48,18,9,10
16844,45,49,19,9,10
16859,46,49,19,9,10
15479,45,47,19,9,10
16858,46,49,18,9,10
16829,44,49,19,9,10
16154,45,48,19,9,10
16139,44,48,19,9,10
16814,43,49,19,10,11
16783,41,49,18,10,11
16768,40,49,18,10,11
16754,39,49,19,10,11
16739,38,49,19,10,11
13499,42,44,19,10,11
14129,42,45,19,10,11
14144,43,45,19,10,11
16079,40,48,19,10,11
14759,41,46,19,10,11
14774,42,46,19,10,11
16108,42,48,18,10,11
16093,41,48,18,10,11
14788,43,46,18,10,11
15404,40,47,19,10,11
15419,41,47,19,10,11
15433,42,47,18,10,11
15448,43,47,18,10,11
15462,44,47,17,10,11
16064,39,48,19,10,11
14744,40,46,19,10,11
16874,47,49,19,10,11
14114,41,45,19,10,11
16872,47,49,17,10,11
16843,45,49,18,10,11
15294,33,47,14,11,12
15284,32,47,19,11,12
15283,32,47,18,11,12
15281,32,47,16,11,12
15280,32,47,15,11,12
15279,32,47,14,11,12
15269,31,47,19,11,12
15267,31,47,17,11,12
15266,31,47,16,11,12
15265,31,47,15,11,12
15253,30,47,18,11,12
15252,30,47,17,11,12
15251,30,47,16,11,12
15239,29,47,19,11,12
15238,29,47,18,11,12
15237,29,47,17,11,12
15224,28,47,19,11,12
15295,33,47,15,11,12
15296,33,47,16,11,12
15297,33,47,17,11,12
15298,33,47,18,11,12
15389,39,47,19,11,12
15388,39,47,18,11,12
15387,39,47,17,11,12
15373,38,47,18,11,12
15359,37,47,19,11,12
15358,37,47,18,11,12
15353,37,47,13,11,12
15344,36,47,19,11,12
15340,36,47,15,11,12
15338,36,47,13,11,12
15329,35,47,19,11,12
15326,35,47,16,11,12
15324,35,47,14,11,12
15323,35,47,13,11,12
15312,34,47,17,11,12
15310,34,47,15,11,12
15309,34,47,14,11,12
15223,28,47,18,11,12
15209,27,47,19,11,12
14803,44,46,18,11,12
15402,40,47,17,11,12
14681,36,46,16,11,12
14679,36,46,14,11,12
14678,36,46,13,11,12
14667,35,46,17,11,12
14665,35,46,15,11,12
14664,35,46,14,11,12
14663,35,46,13,11,12
14653,34,46,18,11,12
14652,34,46,17,11,12
14650,34,46,15,11,12
14649,34,46,14,11,12
14639,33,46,19,11,12
14638,33,46,18,11,12
14636,33,46,16,11,12
14635,33,46,15,11,12
14634,33,46,14,11,12
14624,32,46,19,11,12
14684,36,46,19,11,12
14693,37,46,13,11,12
14695,37,46,15,11,12
14699,37,46,19,11,12
14802,44,46,17,11,12
14801,44,46,16,11,12
14789,43,46,19,11,12
12191,36,42,16,11,12
14786,43,46,16,11,12
12190,36,42,15,11,12
14773,42,46,18,11,12
14772,42,46,17,11,12
14804,44,46,19,11,12
14771,42,46,16,11,12
14757,41,46,17,11,12
12177,35,42,17,11,12
14743,40,46,18,11,12
14742,40,46,17,11,12
14728,39,46,18,11,12
14714,38,46,19,11,12
14713,38,46,18,11,12
14708,38,46,13,11,12
12179,35,42,19,11,12
12193,36,42,18,11,12
15416,41,47,16,11,12
15417,41,47,17,11,12
12219,38,42,14,11,12
16091,41,48,16,11,12
12218,38,42,13,11,12
16078,40,48,18,11,12
16077,40,48,17,11,12
12208,37,42,18,11,12
16062,39,48,17,11,12
16048,38,48,18,11,12
16047,38,48,17,11,12
16034,37,48,19,11,12
16033,37,48,18,11,12
16019,36,48,19,11,12
16018,36,48,18,11,12
16013,36,48,13,11,12
16004,35,48,19,11,12
15999,35,48,14,11,12
15998,35,48,13,11,12
16094,41,48,19,11,12
15986,34,48,16,11,12
16106,42,48,16,11,12
12220,38,42,15,11,12
16167,46,48,17,11,12
16166,46,48,16,11,12
16164,46,48,14,11,12
16153,45,48,18,11,12
16152,45,48,17,11,12
16151,45,48,16,11,12
16150,45,48,15,11,12
12222,38,42,17,11,12
16138,44,48,18,11,12
16137,44,48,17,11,12
16136,44,48,16,11,12
16135,44,48,15,11,12
16124,43,48,19,11,12
16123,43,48,18,11,12
16122,43,48,17,11,12
16120,43,48,15,11,12
16109,42,48,19,11,12
16107,42,48,17,11,12
15984,34,48,14,11,12
15983,34,48,13,11,12
15972,33,48,17,11,12
15478,45,47,18,11,12
15477,45,47,17,11,12
15476,45,47,16,11,12
15475,45,47,15,11,12
15464,44,47,19,11,12
15463,44,47,18,11,12
12206,37,42,16,11,12
15460,44,47,15,11,12
15449,43,47,19,11,12
12205,37,42,15,11,12
15447,43,47,17,11,12
15446,43,47,16,11,12
15434,42,47,19,11,12
12204,37,42,14,11,12
15431,42,47,16,11,12
12194,36,42,19,11,12
15418,41,47,18,11,12
12207,37,42,17,11,12
15884,27,48,19,11,12
15898,28,48,18,11,12
15899,28,48,19,11,12
15970,33,48,15,11,12
15969,33,48,14,11,12
15958,32,48,18,11,12
15956,32,48,16,11,12
15955,32,48,15,11,12
15954,32,48,14,11,12
15944,31,48,19,11,12
15943,31,48,18,11,12
14622,32,46,17,11,12
15942,31,48,17,11,12
15940,31,48,15,11,12
15939,31,48,14,11,12
15929,30,48,19,11,12
15927,30,48,17,11,12
15926,30,48,16,11,12
15925,30,48,15,11,12
15913,29,48,18,11,12
15912,29,48,17,11,12
15941,31,48,16,11,12
14621,32,46,16,11,12
12249,40,42,14,11,12
14609,31,46,19,11,12
12789,36,43,14,11,12
12779,35,43,19,11,12
12778,35,43,18,11,12
12236,39,42,16,11,12
12776,35,43,16,11,12
12775,35,43,15,11,12
12764,34,43,19,11,12
12762,34,43,17,11,12
12761,34,43,16,11,12
12749,33,43,19,11,12
12748,33,43,18,11,12
12747,33,43,17,11,12
12734,32,43,19,11,12
12733,32,43,18,11,12
12719,31,43,19,11,12
9929,35,38,19,11,12
9943,36,38,18,11,12
12790,36,43,15,11,12
9944,36,38,19,11,12
12791,36,43,16,11,12
12793,36,43,18,11,12
12869,41,43,19,11,12
12868,41,43,18,11,12
12854,40,43,19,11,12
12853,40,43,18,11,12
12848,40,43,13,11,12
12839,39,43,19,11,12
12834,39,43,14,11,12
12833,39,43,13,11,12
12233,39,42,13,11,12
12234,39,42,14,11,12
12821,38,43,16,11,12
12819,38,43,14,11,12
12818,38,43,13,11,12
12807,37,43,17,11,12
12805,37,43,15,11,12
12804,37,43,14,11,12
12803,37,43,13,11,12
12792,36,43,17,11,12
10454,34,39,19,11,12
10468,35,39,18,11,12
10469,35,39,19,11,12
11607,36,41,17,11,12
11608,36,41,18,11,12
11609,36,41,19,11,12
11620,37,41,15,11,12
11621,37,41,16,11,12
11623,37,41,18,11,12
11624,37,41,19,11,12
11634,38,41,14,11,12
11635,38,41,15,11,12
11636,38,41,16,11,12
11637,38,41,17,11,12
11638,38,41,18,11,12
11648,39,41,13,11,12
11649,39,41,14,11,12
11650,39,41,15,11,12
11652,39,41,17,11,12
12254,40,42,19,11,12
11606,36,41,16,11,12
11594,35,41,19,11,12
11593,35,41,18,11,12
11592,35,41,17,11,12
10483,36,39,18,11,12
10497,37,39,17,11,12
10499,37,39,19,11,12
11009,34,40,19,11,12
11023,35,40,18,11,12
11037,36,40,17,11,12
11039,36,40,19,11,12
11051,37,40,16,11,12
13319,30,44,19,11,12
11052,37,40,17,11,12
11054,37,40,19,11,12
11065,38,40,15,11,12
11066,38,40,16,11,12
12239,39,42,19,11,12
11068,38,40,18,11,12
11069,38,40,19,11,12
11564,33,41,19,11,12
11578,34,41,18,11,12
11053,37,40,18,11,12
13333,31,44,18,11,12
13334,31,44,19,11,12
13347,32,44,17,11,12
14063,38,45,13,11,12
14054,37,45,19,11,12
14051,37,45,16,11,12
14049,37,45,14,11,12
14048,37,45,13,11,12
14036,36,45,16,11,12
14035,36,45,15,11,12
14034,36,45,14,11,12
14033,36,45,13,11,12
14022,35,45,17,11,12
14020,35,45,15,11,12
14019,35,45,14,11,12
14008,34,45,18,11,12
14006,34,45,16,11,12
14005,34,45,15,11,12
14004,34,45,14,11,12
13994,33,45,19,11,12
14069,38,45,19,11,12
14078,39,45,13,11,12
14083,39,45,18,11,12
14084,39,45,19,11,12
14608,31,46,18,11,12
14607,31,46,17,11,12
14606,31,46,16,11,12
14593,30,46,18,11,12
14592,30,46,17,11,12
14579,29,46,19,11,12
14578,29,46,18,11,12
14564,28,46,19,11,12
13993,33,45,18,11,12
12176,35,42,16,11,12
14142,43,45,17,11,12
14141,43,45,16,11,12
12164,34,42,19,11,12
14127,42,45,17,11,12
12163,34,42,18,11,12
14113,41,45,18,11,12
14112,41,45,17,11,12
14098,40,45,18,11,12
14143,43,45,18,11,12
12248,40,42,13,11,12
13992,33,45,17,11,12
13990,33,45,15,11,12
13407,36,44,17,11,12
12148,33,42,18,11,12
13405,36,44,15,11,12
13404,36,44,14,11,12
13403,36,44,13,11,12
13393,35,44,18,11,12
13391,35,44,16,11,12
13390,35,44,15,11,12
13389,35,44,14,11,12
13379,34,44,19,11,12
13378,34,44,18,11,12
13376,34,44,16,11,12
13375,34,44,15,11,12
13364,33,44,19,11,12
13362,33,44,17,11,12
13361,33,44,16,11,12
12134,32,42,19,11,12
13418,37,44,13,11,12
13419,37,44,14,11,12
13421,37,44,16,11,12
13433,38,44,13,11,12
13979,32,45,19,11,12
13977,32,45,17,11,12
13976,32,45,16,11,12
13963,31,45,18,11,12
13962,31,45,17,11,12
13949,30,45,19,11,12
13948,30,45,18,11,12
13934,29,45,19,11,12
13991,33,45,16,11,12
12162,34,42,17,11,12
13497,42,44,17,11,12
13483,41,44,18,11,12
13469,40,44,19,11,12
13468,40,44,18,11,12
13454,39,44,19,11,12
13448,39,44,13,11,12
13439,38,44,19,11,12
13434,38,44,14,11,12
13498,42,44,18,11,12
14620,32,46,15,11,12
13348,32,44,18,11,12
16796,42,49,16,11,12
16857,46,49,17,11,12
16616,30,49,16,11,12
16766,40,49,16,11,12
16810,43,49,15,11,12
16688,35,49,13,11,12
16842,45,49,17,11,12
16841,45,49,16,11,12
16615,30,49,15,11,12
16737,38,49,17,11,12
16645,32,49,15,11,12
16661,33,49,16,11,12
16812,43,49,17,11,12
16813,43,49,18,11,12
16767,40,49,17,11,12
16660,33,49,15,11,12
16738,38,49,18,11,12
16828,44,49,18,11,12
16662,33,49,17,11,12
16633,31,49,18,11,12
16601,29,49,16,11,12
16631,31,49,16,11,12
16630,31,49,15,11,12
16573,27,49,18,11,12
16629,31,49,14,11,12
16781,41,49,16,11,12
16856,46,49,16,11,12
16854,46,49,14,11,12
16782,41,49,17,11,12
16811,43,49,16,11,12
16784,41,49,19,11,12
16709,36,49,19,11,12
16708,36,49,18,11,12
16826,44,49,16,11,12
16797,42,49,17,11,12
16827,44,49,17,11,12
16574,27,49,19,11,12
16769,40,49,19,11,12
16795,42,49,15,11,12
16798,42,49,18,11,12
16587,28,49,17,11,12
16679,34,49,19,11,12
16799,42,49,19,11,12
16871,47,49,16,11,12
16752,39,49,17,11,12
16559,26,49,19,11,12
16694,35,49,19,11,12
16648,32,49,18,11,12
16825,44,49,15,11,12
16659,33,49,14,11,12
16673,34,49,13,11,12
16617,30,49,17,11,12
16604,29,49,19,11,12
16674,34,49,14,11,12
16723,37,49,18,11,12
16647,32,49,17,11,12
16644,32,49,14,11,12
16619,30,49,19,11,12
16603,29,49,18,11,12
16839,45,49,14,11,12
16602,29,49,17,11,12
16588,28,49,18,11,12
15971,33,48,16,12,13
12835,39,43,15,12,13
16763,40,49,13,12,13
15968,33,48,13,12,13
11605,36,41,15,12,13
11604,36,41,14,12,13
12847,40,43,12,12,13
16764,40,49,14,12,13
16544,25,49,19,12,13
12846,40,43,11,12,13
10978,32,40,18,12,13
12845,40,43,10,12,13
10977,32,40,17,12,13
12836,39,43,16,12,13
12832,39,43,12,12,13
14668,35,46,18,12,13
12837,39,43,17,12,13
15974,33,48,19,12,13
15973,33,48,18,12,13
12809,37,43,19,12,13
12831,39,43,11,12,13
11577,34,41,17,12,13
11576,34,41,16,12,13
11575,34,41,15,12,13
16557,26,49,17,12,13
15928,30,48,18,12,13
16558,26,49,18,12,13
14680,36,46,15,12,13
14677,36,46,12,12,13
15924,30,48,14,12,13
15254,30,47,19,12,13
14683,36,46,18,12,13
10991,33,40,16,12,13
10992,33,40,17,12,13
10993,33,40,18,12,13
10994,33,40,19,12,13
14691,37,46,11,12,13
14682,36,46,17,12,13
15959,32,48,19,12,13
11579,34,41,19,12,13
12806,37,43,16,12,13
15957,32,48,17,12,13
11591,35,41,16,12,13
12849,40,43,14,12,13
11590,35,41,15,12,13
11589,35,41,14,12,13
15953,32,48,13,12,13
10979,32,40,19,12,13
14676,36,46,11,12,13
12824,38,43,19,12,13
12822,38,43,17,12,13
12820,38,43,15,12,13
12817,38,43,12,12,13
15264,31,47,14,12,13
10394,30,39,19,12,13
12808,37,43,18,12,13
16556,26,49,16,12,13
12823,38,43,18,12,13
12850,40,43,15,12,13
12852,40,43,17,12,13
16543,25,49,18,12,13
10962,31,40,17,12,13
10963,31,40,18,12,13
16045,38,48,15,12,13
16044,38,48,14,12,13
14619,32,46,14,12,13
16671,34,49,11,12,13
15282,32,47,17,12,13
8369,33,35,19,12,13
10964,31,40,19,12,13
12866,41,43,16,12,13
12865,41,43,15,12,13
16614,30,49,14,12,13
12863,41,43,13,12,13
12862,41,43,12,12,13
14623,32,46,18,12,13
16049,38,48,19,12,13
11639,38,41,19,12,13
16672,34,49,12,12,13
16073,40,48,13,12,13
14577,29,46,17,12,13
15293,33,47,13,12,13
10408,31,39,18,12,13
14590,30,46,15,12,13
16677,34,49,17,12,13
16529,24,49,19,12,13
16063,39,48,18,12,13
16676,34,49,16,12,13
14594,30,46,19,12,13
16060,39,48,15,12,13
16058,39,48,13,12,13
14604,31,46,14,12,13
14605,31,46,15,12,13
16675,34,49,15,12,13
16031,37,48,16,12,13
15982,34,48,12,12,13
14637,33,46,17,12,13
16029,37,48,14,12,13
12851,40,43,16,12,13
15997,35,48,12,12,13
15996,35,48,11,12,13
14662,35,46,12,12,13
16658,33,49,13,12,13
16824,44,49,14,12,13
16000,35,48,15,12,13
16657,33,49,12,12,13
15989,34,48,19,12,13
15988,34,48,18,12,13
15987,34,48,17,12,13
14666,35,46,16,12,13
15985,34,48,15,12,13
16542,25,49,17,12,13
16618,30,49,18,12,13
16001,35,48,16,12,13
16002,35,48,17,12,13
16762,40,49,12,12,13
16663,33,49,18,12,13
12861,41,43,11,12,13
15268,31,47,18,12,13
14648,34,46,13,12,13
11622,37,41,17,12,13
11619,37,41,14,12,13
16017,36,48,17,12,13
16016,36,48,16,12,13
16015,36,48,15,12,13
16014,36,48,14,12,13
16012,36,48,12,12,13
16011,36,48,11,12,13
16010,36,48,10,12,13
14651,34,46,16,12,13
14654,34,46,19,12,13
16030,37,48,15,12,13
14692,37,46,12,12,13
15896,28,48,16,12,13
15250,30,47,15,12,13
12774,35,43,14,12,13
12763,34,43,18,12,13
12760,34,43,15,12,13
12759,34,43,14,12,13
9942,36,38,17,12,13
12746,33,43,16,12,13
12745,33,43,15,12,13
12777,35,43,17,12,13
12744,33,43,14,12,13
16793,42,49,13,12,13
12732,32,43,17,12,13
12731,32,43,16,12,13
12730,32,43,15,12,13
11064,38,40,14,12,13
12718,31,43,18,12,13
12717,31,43,17,12,13
16792,42,49,12,12,13
14800,44,46,15,12,13
14798,44,46,13,12,13
14797,44,46,12,12,13
14768,42,46,13,12,13
14769,42,46,14,12,13
15179,25,47,19,12,13
16777,41,49,12,12,13
15178,25,47,18,12,13
16780,41,49,15,12,13
11489,28,41,19,12,13
11049,37,40,14,12,13
11050,37,40,15,12,13
15164,24,47,19,12,13
16809,43,49,14,12,13
14782,43,46,12,12,13
14783,43,46,13,12,13
14784,43,46,14,12,13
16634,31,49,19,12,13
14787,43,46,17,12,13
16632,31,49,17,12,13
12716,31,43,16,12,13
15192,26,47,17,12,13
11067,38,40,17,12,13
9940,36,38,15,12,13
9403,35,37,18,12,13
9404,35,37,19,12,13
12704,30,43,19,12,13
12703,30,43,18,12,13
12702,30,43,17,12,13
12701,30,43,16,12,13
12689,29,43,19,12,13
9402,35,37,17,12,13
12688,29,43,18,12,13
12674,28,43,19,12,13
12673,28,43,18,12,13
9884,32,38,19,12,13
9883,32,38,18,12,13
12659,27,43,19,12,13
9869,31,38,19,12,13
9854,30,38,19,12,13
12687,29,43,17,12,13
9401,35,37,16,12,13
9897,33,38,17,12,13
9389,34,37,19,12,13
9928,35,38,18,12,13
9927,35,38,17,12,13
9926,35,38,16,12,13
9914,34,38,19,12,13
9344,31,37,19,12,13
9913,34,38,18,12,13
9912,34,38,17,12,13
9358,32,37,18,12,13
9359,32,37,19,12,13
14060,38,45,10,12,13
9911,34,38,16,12,13
9373,33,37,18,12,13
9374,33,37,19,12,13
9899,33,38,19,12,13
9898,33,38,18,12,13
9387,34,37,17,12,13
9388,34,37,18,12,13
9941,36,38,16,12,13
15914,29,48,19,12,13
15193,26,47,18,12,13
15194,26,47,19,12,13
11547,32,41,17,12,13
11546,32,41,16,12,13
11007,34,40,17,12,13
14710,38,46,15,12,13
14711,38,46,16,12,13
15883,27,48,18,12,13
15882,27,48,17,12,13
11548,32,41,18,12,13
15881,27,48,16,12,13
16646,32,49,16,12,13
15235,29,47,15,12,13
15222,28,47,17,12,13
8863,33,36,18,12,13
8864,33,36,19,12,13
15221,28,47,16,12,13
11534,31,41,19,12,13
11008,34,40,18,12,13
11549,32,41,19,12,13
14707,38,46,12,12,13
14706,38,46,11,12,13
15911,29,48,16,12,13
15910,29,48,15,12,13
14694,37,46,14,12,13
16649,32,49,19,12,13
14696,37,46,16,12,13
14697,37,46,17,12,13
11563,33,41,18,12,13
11562,33,41,17,12,13
11561,33,41,16,12,13
11560,33,41,15,12,13
15897,28,48,17,12,13
16074,40,48,14,12,13
15895,28,48,15,12,13
15236,29,47,16,12,13
11005,34,40,15,12,13
8849,32,36,19,12,13
11006,34,40,16,12,13
11533,31,41,18,12,13
15824,23,48,19,12,13
11532,31,41,17,12,13
15868,26,48,18,12,13
8878,34,36,18,12,13
11034,36,40,14,12,13
11035,36,40,15,12,13
15839,24,48,19,12,13
15838,24,48,18,12,13
11036,36,40,16,12,13
11038,36,40,18,12,13
15206,27,47,16,12,13
14753,41,46,13,12,13
14755,41,46,15,12,13
11504,29,41,19,12,13
11503,29,41,18,12,13
16807,43,49,12,12,13
14758,41,46,18,12,13
8879,34,36,19,12,13
12794,36,43,19,12,13
14754,41,46,14,12,13
15207,27,47,17,12,13
15208,27,47,18,12,13
16643,32,49,13,12,13
15867,26,48,17,12,13
14724,39,46,14,12,13
14725,39,46,15,12,13
14726,39,46,16,12,13
11019,35,40,14,12,13
14729,39,46,19,12,13
11020,35,40,15,12,13
11021,35,40,16,12,13
11022,35,40,17,12,13
11519,30,41,19,12,13
11518,30,41,18,12,13
11517,30,41,17,12,13
15854,25,48,19,12,13
15853,25,48,18,12,13
11024,35,40,19,12,13
14739,40,46,14,12,13
14740,40,46,15,12,13
15869,26,48,19,12,13
14576,29,46,16,12,13
14591,30,46,16,12,13
16528,24,49,18,12,13
16589,28,49,19,12,13
12209,37,42,19,12,13
15385,39,47,15,12,13
14123,42,45,13,12,13
14124,42,45,14,12,13
14125,42,45,15,12,13
14126,42,45,16,12,13
16686,35,49,11,12,13
12089,29,42,19,12,13
12088,29,42,18,12,13
14128,42,45,18,12,13
16685,35,49,10,12,13
15384,39,47,14,12,13
14081,39,45,16,12,13
14137,43,45,12,12,13
12102,30,42,17,12,13
14138,43,45,13,12,13
16692,35,49,17,12,13
14046,37,45,11,12,13
14109,41,45,14,12,13
13874,25,45,19,12,13
15398,40,47,13,12,13
14110,41,45,15,12,13
12119,31,42,19,12,13
12118,31,42,18,12,13
12117,31,42,17,12,13
12116,31,42,16,12,13
16689,35,49,14,12,13
15427,42,47,12,12,13
15428,42,47,13,12,13
16687,35,49,12,12,13
15429,42,47,14,12,13
12104,30,42,19,12,13
12103,30,42,18,12,13
16691,35,49,16,12,13
14094,40,45,14,12,13
14139,43,45,14,12,13
12073,28,42,18,12,13
16868,47,49,13,12,13
15432,42,47,17,12,13
14047,37,45,12,12,13
15443,43,47,13,12,13
14050,37,45,15,12,13
16869,47,49,14,12,13
10498,37,39,18,12,13
10496,37,39,16,12,13
16870,47,49,15,12,13
13466,40,44,16,12,13
13465,40,44,15,12,13
15356,37,47,16,12,13
13463,40,44,13,12,13
14023,35,45,18,12,13
13461,40,44,11,12,13
13479,41,44,14,12,13
12074,28,42,19,12,13
13480,41,44,15,12,13
13482,41,44,17,12,13
16076,40,48,16,12,13
16724,37,49,19,12,13
14080,39,45,15,12,13
13495,42,44,15,12,13
13494,42,44,14,12,13
15374,38,47,19,12,13
15445,43,47,15,12,13
15371,38,47,16,12,13
12059,27,42,19,12,13
16693,35,49,18,12,13
15370,38,47,15,12,13
14077,39,45,12,12,13
15369,38,47,14,12,13
14076,39,45,11,12,13
13484,41,44,19,12,13
13481,41,44,16,12,13
15399,40,47,14,12,13
16570,27,49,15,12,13
12130,32,42,15,12,13
13978,32,45,18,12,13
16571,27,49,16,12,13
16701,36,49,11,12,13
16585,28,49,15,12,13
16855,46,49,15,12,13
14037,36,45,17,12,13
14038,36,45,18,12,13
12175,35,42,15,12,13
12174,35,42,14,12,13
13975,32,45,15,12,13
13974,32,45,14,12,13
13964,31,45,19,12,13
16719,37,49,14,12,13
16720,37,49,15,12,13
13961,31,45,16,12,13
16572,27,49,17,12,13
13960,31,45,15,12,13
13989,33,45,14,12,13
12178,35,42,18,12,13
15414,41,47,14,12,13
12192,36,42,17,12,13
14021,35,45,16,12,13
12189,36,42,14,12,13
16705,36,49,15,12,13
16706,36,49,16,12,13
14018,35,45,13,12,13
15413,41,47,13,12,13
14009,34,45,19,12,13
15457,44,47,12,12,13
14032,36,45,12,12,13
14007,34,45,17,12,13
15458,44,47,13,12,13
16703,36,49,13,12,13
15461,44,47,16,12,13
16702,36,49,12,12,13
14099,40,45,19,12,13
16721,37,49,16,12,13
16722,37,49,17,12,13
16586,28,49,16,12,13
13904,27,45,19,12,13
13903,27,45,18,12,13
14096,40,45,16,12,13
15403,40,47,18,12,13
13889,26,45,19,12,13
13888,26,45,18,12,13
14095,40,45,15,12,13
15472,45,47,12,12,13
15400,40,47,15,12,13
15474,45,47,14,12,13
12133,32,42,18,12,13
12132,32,42,17,12,13
12131,32,42,16,12,13
16866,47,49,11,12,13
12145,33,42,15,12,13
12146,33,42,16,12,13
12147,33,42,17,12,13
13917,28,45,17,12,13
16853,46,49,13,12,13
13947,30,45,17,12,13
16851,46,49,11,12,13
16690,35,49,15,12,13
12161,34,42,16,12,13
12160,34,42,15,12,13
12159,34,42,14,12,13
15355,37,47,15,12,13
13946,30,45,16,12,13
13933,29,45,18,12,13
13932,29,45,17,12,13
13931,29,45,16,12,13
14097,40,45,17,12,13
13919,28,45,19,12,13
13918,28,45,18,12,13
12149,33,42,19,12,13
13945,30,45,15,12,13
15354,37,47,14,12,13
13462,40,44,12,12,13
13452,39,44,17,12,13
16600,29,49,15,12,13
16514,23,49,19,12,13
16134,44,48,14,12,13
10439,33,39,19,12,13
16132,44,48,12,12,13
10438,33,39,18,12,13
15325,35,47,15,12,13
10437,33,39,17,12,13
14052,37,45,17,12,13
15322,35,47,12,12,13
15321,35,47,11,12,13
12247,40,42,12,12,13
12250,40,42,15,12,13
16121,43,48,16,12,13
10436,33,39,16,12,13
14064,38,45,14,12,13
12246,40,42,11,12,13
15327,35,47,17,12,13
13301,29,44,16,12,13
10466,35,39,16,12,13
13453,39,44,18,12,13
13288,28,44,18,12,13
13287,28,44,17,12,13
10465,35,39,15,12,13
13274,27,44,19,12,13
13273,27,44,18,12,13
16149,45,48,14,12,13
10453,34,39,18,12,13
13259,26,44,19,12,13
15328,35,47,18,12,13
10452,34,39,17,12,13
10451,34,39,16,12,13
14065,38,45,15,12,13
12251,40,42,16,12,13
13302,29,44,17,12,13
10424,32,39,19,12,13
16117,43,48,12,12,13
14549,27,46,19,12,13
16092,41,48,17,12,13
14561,28,46,16,12,13
16089,41,48,14,12,13
16088,41,48,13,12,13
16087,41,48,12,12,13
14548,27,46,18,12,13
14562,28,46,17,12,13
14061,38,45,11,12,13
10948,30,40,18,12,13
10949,30,40,19,12,13
15299,33,47,19,12,13
10409,31,39,19,12,13
14575,29,46,15,12,13
14563,28,46,18,12,13
11651,39,41,16,12,13
14547,27,46,17,12,13
15307,34,47,12,12,13
14519,25,46,19,12,13
10423,32,39,18,12,13
10422,32,39,17,12,13
14062,38,45,12,12,13
14533,26,46,18,12,13
12252,40,42,17,12,13
14534,26,46,19,12,13
16840,45,49,15,12,13
15313,34,47,18,12,13
11653,39,41,18,12,13
16105,42,48,15,12,13
10934,29,40,19,12,13
16102,42,48,12,12,13
15311,34,47,16,12,13
15308,34,47,13,12,13
16118,43,48,13,12,13
13303,29,44,18,12,13
13289,28,44,19,12,13
10481,36,39,16,12,13
10494,37,39,14,12,13
13423,37,44,18,12,13
13422,37,44,17,12,13
16735,38,49,15,12,13
13420,37,44,15,12,13
10484,36,39,19,12,13
13417,37,44,12,12,13
10482,36,39,17,12,13
13409,36,44,19,12,13
13408,36,44,18,12,13
13406,36,44,16,12,13
13304,29,44,19,12,13
13394,35,44,19,12,13
10480,36,39,15,12,13
13392,35,44,17,12,13
13431,38,44,11,12,13
14067,38,45,17,12,13
15442,43,47,12,12,13
16734,38,49,14,12,13
13451,39,44,16,12,13
13450,39,44,15,12,13
13449,39,44,14,12,13
10495,37,39,15,12,13
13447,39,44,12,12,13
13446,39,44,11,12,13
13445,39,44,10,12,13
15352,37,47,12,12,13
15351,37,47,11,12,13
13437,38,44,17,12,13
13436,38,44,16,12,13
12221,38,42,16,12,13
13435,38,44,15,12,13
16733,38,49,13,12,13
12223,38,42,18,12,13
13432,38,44,12,12,13
15342,36,47,17,12,13
14024,35,45,19,12,13
13317,30,44,17,12,13
12237,39,42,17,12,13
14066,38,45,16,12,13
12235,39,42,15,12,13
13330,31,44,15,12,13
13331,31,44,16,12,13
12232,39,42,12,12,13
13332,31,44,17,12,13
13318,30,44,18,12,13
15341,36,47,16,12,13
13344,32,44,14,12,13
13345,32,44,15,12,13
13346,32,44,16,12,13
12238,39,42,18,12,13
13349,32,44,19,12,13
13359,33,44,14,12,13
16165,46,48,15,12,13
16753,39,49,18,12,13
10479,36,39,14,12,13
15339,36,47,14,12,13
16748,39,49,13,12,13
10467,35,39,17,12,13
13360,33,44,15,12,13
16749,39,49,14,12,13
13377,34,44,17,12,13
15337,36,47,12,12,13
13374,34,44,14,12,13
15336,36,47,11,12,13
16751,39,49,16,12,13
13363,33,44,18,12,13
13316,30,44,16,12,13
9852,30,38,17,13,14
9853,30,38,18,13,14
9925,35,38,15,13,14
15424,42,47,9,13,14
9839,29,38,19,13,14
9939,36,38,14,13,14
9868,31,38,18,13,14
9896,33,38,16,13,14
9867,31,38,17,13,14
9910,34,38,15,13,14
15422,42,47,7,13,14
9895,33,38,15,13,14
9881,32,38,16,13,14
9882,32,38,17,13,14
15430,42,47,15,13,14
9866,31,38,16,13,14
15423,42,47,8,13,14
15380,39,47,10,13,14
12614,24,43,19,13,14
10379,29,39,19,13,14
15368,38,47,13,13,14
15367,38,47,12,13,14
15366,38,47,11,13,14
15249,30,47,14,13,14
15365,38,47,10,13,14
15364,38,47,9,13,14
15357,37,47,17,13,14
10391,30,39,16,13,14
10392,30,39,17,13,14
10393,30,39,18,13,14
15263,31,47,13,13,14
15350,37,47,10,13,14
10378,29,39,18,13,14
15343,36,47,18,13,14
10450,34,39,15,13,14
16599,29,49,14,13,14
10435,33,39,15,13,14
15278,32,47,13,13,14
15314,34,47,19,13,14
16613,30,49,13,13,14
10406,31,39,16,13,14
15306,34,47,11,13,14
10407,31,39,17,13,14
10421,32,39,16,13,14
